point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,上海南汇方言老派同音字汇陈忠敏
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,多,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,他,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,陀,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,沱,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,大,u/a,～小/～夫,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,N,挪,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,N,哪,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,N,那,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,L,箩,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,L,萝,u/ɔ,/～卜,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,L,逻,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,柯,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,个,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,轲,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,可,u/o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,鹅,u/ɔ,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,娥,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,我,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,Ø,贺,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,茄,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,波,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,跛,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,播,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,颇,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,玻,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,破,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,P,薄,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,M,魔,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,M,摩,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,M,馍,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,朵,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,躲,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,剁,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,椭,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,唾,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,砣,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,惰,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,垛,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,T,堕,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,N,挼,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,N,糯,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,N,懦,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,L,骡,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,L,螺,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,L,脶,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,L,啰,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,L,裸,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,L,摞,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,锉,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,坐,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,座,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,蓑,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,梭,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,唆,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,锁,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,琐,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,过,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,锅,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,戈,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,果,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,裹,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,餜,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,过,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,科,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,窠,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,棵,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,髁,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,蝌,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,颗,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,课,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,讹,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,K,卧,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,火,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,伙,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,货,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,禾,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,祸,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,倭,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,窝,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,涡,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,莴,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,靴,iu,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,P,巴,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,P,芭,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,P,笆,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,P,吧,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,P,把,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,P,靶,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,P,霸,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,P,欛,,,
