point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,多,o,彭埠镇方言语音研究，塘外话
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,拖,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,他,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,驼,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,驮,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,陀,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,鸵,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,沱,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,舵,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,大,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,T,驮,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,N,挪,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,N,哪,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,N,那,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,L,罗,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,L,锣,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,L,箩,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,L,萝,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,L,逻,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,TS,左,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,TS,佐,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,TS,搓,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,TS,娑,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,K,歌,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,K,哥,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,K,柯,,
PB01,彭埠镇,太湖片-杭州小片,,,歌,K,个,o,
PB01,彭埠镇,太湖片-杭州小片,,,歌,K,轲,,
