point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,萧山方言研究
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,多,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,拖,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,他,a,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,驼,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,驮,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,陀,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,鸵,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,沱,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,舵,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,大,a/o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,T,驮,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,N,挪,a/o,文读/白读,
SH01,萧山城厢,太湖片-临绍小片,,,歌,N,哪,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,N,那,a,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,L,罗,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,L,锣,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,L,箩,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,L,萝,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,L,逻,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,TS,左,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,TS,佐,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,TS,搓,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,TS,娑,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,歌,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,哥,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,柯,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,个,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,轲,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,可,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,蛾,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,鹅,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,俄,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,娥,,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,我,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,K,饿,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,Ø,荷,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,Ø,河,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,Ø,何,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,Ø,荷,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,Ø,贺,o,,
SH01,萧山城厢,太湖片-临绍小片,,,歌,Ø,阿,o,～胶,
SH01,萧山城厢,太湖片-临绍小片,,,歌,Ø,屙,u,,
SH01,萧山城厢,太湖片-临绍小片,,,戈,K,茄,ia,,
SH01,萧山城厢,太湖片-临绍小片,,,戈,P,波,o,,
SH01,萧山城厢,太湖片-临绍小片,,,戈,P,菠,o,,
SH01,萧山城厢,太湖片-临绍小片,,,戈,P,跛,o,,
SH01,萧山城厢,太湖片-临绍小片,,,戈,P,簸,o,,
SH01,萧山城厢,太湖片-临绍小片,,,戈,P,簸,o,,
SH01,萧山城厢,太湖片-临绍小片,,,戈,P,播,o,,
