point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,多,u,上海地区方言调查研究
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,拖,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,他,ɑ,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,驼,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,驮,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,陀,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,鸵,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,沱,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,舵,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,大,u/ɑ,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,T,驮,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,N,挪,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,N,哪,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,N,那,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,L,罗,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,L,锣,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,L,箩,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,L,萝,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,L,逻,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,TS,左,u/i,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,TS,佐,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,TS,搓,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,TS,娑,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,歌,əu,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,哥,əu,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,柯,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,个,əu,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,轲,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,可,əu,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,俄,əu,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,娥,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,我,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,K,饿,əu,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,Ø,河,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,Ø,何,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,Ø,阿,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,歌,Ø,屙,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,K,茄,ɑ,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,波,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,菠,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,跛,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,簸,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,簸,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,播,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,颇,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,坡,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,玻,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,破,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,婆,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,P,薄,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,M,魔,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,M,磨,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,M,摩,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,M,馍,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,M,蘑,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,M,磨,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,朵,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,躲,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,剁,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,妥,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,椭,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,唾,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,砣,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,惰,u,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,垛,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,T,堕,,
SJ02,泗泾,太湖片-苏沪嘉小片,,,戈,N,挼,,
