point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,绍兴方言同音字汇
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,多,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,拖,a/o,白读/文读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,他,a/o,文读/白读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,驼,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,驮,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,陀,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,鸵,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,沱,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,舵,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,大,a/o,文读/白读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,T,驮,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,N,挪,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,N,哪,a,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,N,那,a,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,L,罗,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,L,锣,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,L,箩,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,L,萝,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,L,逻,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,TS,左,ia/o,白读～手/文读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,TS,佐,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,TS,搓,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,TS,娑,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,歌,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,哥,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,柯,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,个,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,轲,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,可,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,蛾,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,鹅,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,俄,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,娥,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,我,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,K,饿,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,Ø,荷,u/o,～包蛋/薄～,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,Ø,河,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,Ø,何,o,文读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,Ø,荷,u/o,～包蛋/薄～,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,Ø,贺,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,Ø,阿,o,～胶,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,歌,Ø,屙,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,茄,a,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,波,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,菠,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,跛,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,簸,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,簸,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,播,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,颇,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,坡,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,玻,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,破,a/o,白读/文读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,婆,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,P,薄,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,M,魔,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,M,磨,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,M,摩,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,M,馍,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,M,蘑,o,,
