point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江上虞百官镇方言音系
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,多,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,拖,ɐ/o,白读～鼻涕,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,他,ɐ,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,驼,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,驮,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,陀,,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,鸵,,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,沱,,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,舵,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,大,ɐ/o,文读/白读,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,T,驮,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,N,挪,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,N,哪,ɐ,文读,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,N,那,ɐ,文读,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,L,罗,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,L,锣,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,L,箩,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,L,萝,,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,L,逻,,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,TS,左,iɐ/o,～手/文读,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,TS,佐,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,TS,搓,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,TS,娑,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,K,歌,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,歌,K,哥,o,,
