point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,汪平1996
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,多,ɑ/əu,白读/文读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,拖,ɑ/əu,白读～鼻涕/文读～油瓶,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,他,ɑ,书面语,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,驼,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,陀,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,鸵,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,沱,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,舵,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,大,ɑ/əu,文读/白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,N,挪,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,N,哪,ɑ/o,书面语/～吒,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,N,那,ɑ,书面语,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,L,罗,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,L,锣,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,L,箩,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,L,萝,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,L,逻,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,TS,左,i/əu,白读/文读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,TS,佐,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,TS,搓,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,柯,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,个,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,轲,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,可,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,娥,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,我,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,K,饿,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,Ø,荷,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,Ø,河,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,Ø,何,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,Ø,荷,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,Ø,贺,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,Ø,阿,əu,～弥陀佛,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,茄,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,波,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,菠,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,跛,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,簸,v,书面语,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,簸,v,书面语,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,播,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,颇,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,坡,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,玻,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,破,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,婆,v,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,P,薄,v,～荷,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,M,摩,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,M,馍,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,M,蘑,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,朵,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,躲,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,剁,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,妥,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,椭,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,唾,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,砣,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,惰,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,垛,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,T,堕,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,N,挼,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,N,糯,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,N,懦,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,L,骡,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,L,螺,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,L,脶,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,L,啰,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,L,裸,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,L,摞,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,锉,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,坐,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,座,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,蓑,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,梭,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,唆,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,莎,o,书面语,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,锁,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,琐,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,TS,唢,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,过,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,锅,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,戈,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,果,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,裹,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,餜,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,科,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,窠,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,棵,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,髁,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,蝌,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,颗,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,课,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,讹,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,K,卧,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,火,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,伙,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,货,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,和,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,禾,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,祸,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,和,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,倭,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,窝,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,涡,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,莴,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,靴,io,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,巴,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,芭,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,笆,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,吧,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,把,ɑ/o,文读/白读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,靶,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,霸,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,欛,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,壩,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,坝,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,爸,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,怕,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,帕,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,爬,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,钯,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,P,耙,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,M,痲,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,M,蟆,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,M,妈,ɑ,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,M,马,ɑ/o,～虎/一只～,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,M,码,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,M,玛,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,M,蚂,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,M,骂,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,N,拿,ɑ/o,加～大/瞎～,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS,茶,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS,搽,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,楂,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,渣,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,诈,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,榨,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,炸,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,叉,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,杈,o,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,差,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,,
