point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,嵊州崇仁镇方言语音研究
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,多,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,拖,a/ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,他,a/ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,驼,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,驮,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,陀,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,鸵,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,沱,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,舵,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,大,a/ɤ,文读,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,驮,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,N,挪,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,N,哪,a,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,N,那,a,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,罗,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,锣,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,箩,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,萝,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,逻,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,TS,左,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,TS,佐,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,TS,搓,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,TS,娑,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,歌,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,哥,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,柯,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,个,a/ɤ,一～/～人,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,轲,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,可,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,蛾,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,鹅,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,俄,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,娥,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,我,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,饿,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,荷,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,河,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,何,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,荷,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,贺,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,阿,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,屙,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,茄,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,波,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,菠,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,跛,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,簸,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,簸,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,播,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,颇,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,坡,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,玻,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,破,ɤ,文读,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,婆,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,薄,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,M,魔,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,M,磨,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,M,摩,ɤ,,
