point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,多,əu,吴语太仓方言语音研究
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,拖,a/əu,白读/文读
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,他,a,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,驼,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,驮,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,陀,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,鸵,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,沱,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,舵,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,大,a,文读
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,T,驮,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,N,挪,a/o,文读/白读
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,N,哪,o,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,N,那,a,文读
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,L,罗,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,L,锣,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,L,箩,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,L,萝,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,L,逻,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,TS,左,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,TS,佐,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,TS,搓,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,TS,娑,,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,歌,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,哥,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,柯,,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,个,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,轲,,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,可,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,俄,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,娥,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,我,,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,K,饿,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,Ø,河,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,Ø,何,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,Ø,阿,o,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,歌,Ø,屙,o,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,K,茄,a,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,波,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,菠,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,跛,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,簸,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,簸,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,播,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,颇,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,坡,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,玻,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,破,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,婆,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,P,薄,u,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,M,魔,o,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,M,磨,o,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,M,摩,o,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,M,馍,o,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,M,蘑,o,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,M,磨,o,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,朵,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,躲,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,剁,,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,妥,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,椭,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,唾,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,砣,,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,惰,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,垛,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,T,堕,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,N,挼,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,N,糯,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,N,懦,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,L,骡,əu,
TC02,太仓城厢,太湖片-苏沪嘉小片,,,戈,L,螺,əu,
