point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,桐庐方言志
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,多,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,拖,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,他,a,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,驼,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,驮,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,陀,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,鸵,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,沱,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,舵,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,大,a/ɛ/u,文读/～夫/白读,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,驮,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,N,挪,a,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,N,哪,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,N,那,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,罗,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,锣,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,箩,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,萝,u/ɔ,文读,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,逻,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,TS,左,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,TS,佐,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,TS,搓,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,TS,娑,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,歌,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,哥,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,柯,uo,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,个,u,文读,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,轲,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,可,u/uo,白读～可/文读,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,蛾,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,鹅,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,俄,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,娥,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,我,uo,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,饿,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,Ø,荷,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,Ø,河,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,Ø,何,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,Ø,荷,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,Ø,贺,u,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,Ø,阿,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,Ø,屙,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,K,茄,ia,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,波,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,菠,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,跛,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,簸,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,簸,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,播,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,颇,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,坡,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,玻,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,破,a/u,白读/文读,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,婆,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,P,薄,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,M,魔,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,M,磨,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,M,摩,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,M,馍,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,M,蘑,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,M,磨,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,朵,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,躲,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,剁,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,妥,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,椭,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,唾,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,砣,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,惰,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,垛,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,T,堕,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,N,挼,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,N,糯,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,N,懦,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,L,骡,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,L,螺,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,L,脶,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,L,啰,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,L,裸,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,L,瘰,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,L,摞,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,锉,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,莝,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,矬,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,坐,u,文读,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,座,u,文读,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,蓑,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,梭,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,唆,u,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,莎,,,
TL01,桐庐镇,太湖片-临绍小片,,,戈,TS,锁,u,,
