point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,桐乡方言志2014
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,多,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,他,a,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,陀,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,沱,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,大,a/u,文读/白读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,T,驮,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,N,挪,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,N,哪,a,文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,N,那,a,～么,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,L,箩,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,L,萝,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,L,逻,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,TS,佐,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,柯,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,个,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,轲,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,可,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,蛾,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,鹅,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,俄,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,娥,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,我,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,Ø,荷,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,Ø,荷,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,Ø,阿,o,～弥陀佛,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,茄,a,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,波,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,跛,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,播,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,破,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,P,薄,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,M,摩,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,M,馍,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,朵,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,躲,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,剁,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,椭,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,唾,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,砣,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,惰,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,垛,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,T,堕,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,N,挼,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,N,糯,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,N,懦,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,L,骡,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,L,螺,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,L,脶,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,L,啰,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,L,裸,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,L,摞,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,锉,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,坐,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,座,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,蓑,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,梭,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,唆,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,锁,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,琐,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,过,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,锅,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,戈,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,果,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,裹,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,餜,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,过,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,科,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,窠,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,棵,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,髁,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,蝌,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,颗,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,课,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,讹,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,K,卧,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,火,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,伙,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,货,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,禾,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,祸,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,倭,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,窝,u,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,涡,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,莴,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,靴,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,巴,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,芭,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,疤,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,笆,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,吧,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,把,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,靶,a,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,霸,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,欛,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,壩,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,坝,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,爸,a,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,怕,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,帕,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,爬,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,钯,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,P,耙,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,M,痲,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,M,蟆,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,M,妈,a,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,M,马,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,M,码,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,M,玛,a,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,M,蚂,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,M,骂,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,N,拿,o/a,白读/加～大,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS,茶,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS,搽,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,楂,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,渣,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,诈,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,榨,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,炸,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,叉,o/a,白读/文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,杈,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,查,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,乍,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,痧,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,砂,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,鲨,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,裟,o,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,洒,a,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,TS*,厦,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,K,家,a,文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,K,傢,,,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,K,加,a,文读,
TX01,桐乡城区,太湖片-苏沪嘉小片,,,麻,K,痂,,,
