point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,汪平2010
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,多,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,拖,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,他,ɔ,读字音,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,驼,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,陀,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,沱,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,舵,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,大,əu,白读,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,N,挪,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,N,哪,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,N,那,ɔ,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,L,罗,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,L,锣,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,L,箩,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,L,萝,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,L,逻,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,TS,左,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,TS,佐,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,TS,搓,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,K,柯,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,K,个,əu,～人,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,K,轲,,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,K,可,o,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
WJ01,吴江市松陵,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
