point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吴江方言语音研究
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,多,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,拖,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,他,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,驼,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,陀,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,沱,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,舵,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,大,ɔ/əu,文读/白读,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,N,挪,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,N,哪,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,N,那,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,罗,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,锣,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,箩,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,萝,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,逻,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,TS,左,i/əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,TS,搓,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,柯,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,个,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,轲,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,可,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,娥,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,我,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,饿,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,贺,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,茄,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,波,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,跛,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,簸,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,簸,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,播,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,颇,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,玻,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,破,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,薄,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,磨,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,摩,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,馍,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,磨,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,朵,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,躲,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,剁,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,妥,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,椭,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,唾,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,砣,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,惰,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,垛,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,堕,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,N,挼,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,N,糯,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,N,懦,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,骡,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,螺,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,脶,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,啰,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,裸,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,摞,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,锉,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,坐,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,座,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,蓑,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,梭,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,唆,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,锁,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,琐,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,锅,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,戈,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,果,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,裹,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,餜,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,科,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,窠,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,棵,əu,,
