point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,新昌县志
XC01,新昌城关,太湖片-临绍小片,,,歌,T,多,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,拖,a/o,白读/文读,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,他,a,,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,驼,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,驮,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,陀,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,鸵,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,沱,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,舵,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,大,a/o,/白读,
XC01,新昌城关,太湖片-临绍小片,,,歌,T,驮,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,N,挪,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,N,哪,a,,
XC01,新昌城关,太湖片-临绍小片,,,歌,N,那,a,,
XC01,新昌城关,太湖片-临绍小片,,,歌,L,罗,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,L,锣,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,L,箩,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,L,萝,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,L,逻,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,TS,左,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,TS,佐,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,TS,搓,o̞/o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,TS,娑,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,歌,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,哥,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,柯,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,个,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,轲,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,可,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,蛾,a/o,白读/文读,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,鹅,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,俄,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,娥,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,我,,,
XC01,新昌城关,太湖片-临绍小片,,,歌,K,饿,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,Ø,荷,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,Ø,河,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,Ø,何,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,Ø,荷,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,Ø,贺,o,,
XC01,新昌城关,太湖片-临绍小片,,,歌,Ø,阿,o,～胶,
XC01,新昌城关,太湖片-临绍小片,,,歌,Ø,屙,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,K,茄,ia,,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,波,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,菠,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,跛,,,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,簸,ɛ,白读,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,簸,ɛ,白读,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,播,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,颇,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,坡,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,玻,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,破,a,白读,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,婆,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,P,薄,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,M,魔,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,M,磨,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,M,摩,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,M,馍,,,
XC01,新昌城关,太湖片-临绍小片,,,戈,M,蘑,,,
XC01,新昌城关,太湖片-临绍小片,,,戈,M,磨,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,T,朵,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,T,躲,o,,
XC01,新昌城关,太湖片-临绍小片,,,戈,T,剁,o,,
