point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吴语新登（下港）方言音系
XD01,新登下港,太湖片-临绍小片,,,歌,T,多,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,T,拖,u/a,文读/文读,
XD01,新登下港,太湖片-临绍小片,,,歌,T,他,a,,
XD01,新登下港,太湖片-临绍小片,,,歌,T,驼,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,T,驮,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,T,陀,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,T,鸵,,,
XD01,新登下港,太湖片-临绍小片,,,歌,T,沱,,,
XD01,新登下港,太湖片-临绍小片,,,歌,T,舵,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,T,大,u,白读,
XD01,新登下港,太湖片-临绍小片,,,歌,T,驮,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,N,挪,a,,
XD01,新登下港,太湖片-临绍小片,,,歌,N,哪,ɔ,～吒,
XD01,新登下港,太湖片-临绍小片,,,歌,N,那,,,
XD01,新登下港,太湖片-临绍小片,,,歌,L,罗,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,L,锣,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,L,箩,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,L,萝,u/ɔ,/～卜,
XD01,新登下港,太湖片-临绍小片,,,歌,L,逻,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,TS,左,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,TS,佐,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,TS,搓,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,TS,娑,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,歌,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,哥,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,柯,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,个,u/a,文读/白读,
XD01,新登下港,太湖片-临绍小片,,,歌,K,轲,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,可,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,蛾,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,鹅,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,俄,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,娥,,,
XD01,新登下港,太湖片-临绍小片,,,歌,K,我,u/ɔ,文读/白读,
XD01,新登下港,太湖片-临绍小片,,,歌,K,饿,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,Ø,荷,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,Ø,河,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,Ø,何,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,Ø,荷,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,Ø,贺,u,,
XD01,新登下港,太湖片-临绍小片,,,歌,Ø,阿,o,～弥陀佛,
