point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,萧山方言研究
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,多,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,拖,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,他,a,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,驼,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,驮,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,陀,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,鸵,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,沱,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,舵,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,大,a/o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,T,驮,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,N,挪,a/o,文读/白读,
XH02,萧山城厢,太湖片-临绍小片,,,歌,N,哪,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,N,那,a,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,L,罗,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,L,锣,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,L,箩,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,L,萝,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,L,逻,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,TS,左,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,TS,佐,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,TS,搓,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,TS,娑,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,歌,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,哥,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,柯,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,个,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,轲,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,可,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,蛾,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,鹅,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,俄,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,娥,,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,我,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,K,饿,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,Ø,荷,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,Ø,河,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,Ø,何,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,Ø,荷,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,Ø,贺,o,,
XH02,萧山城厢,太湖片-临绍小片,,,歌,Ø,阿,o,～胶,
XH02,萧山城厢,太湖片-临绍小片,,,歌,Ø,屙,u,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,茄,ia,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,波,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,菠,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,跛,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,簸,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,簸,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,播,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,颇,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,坡,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,玻,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,破,a/o,白读/文读,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,婆,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,P,薄,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,M,魔,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,M,磨,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,M,摩,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,M,馍,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,M,蘑,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,M,磨,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,朵,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,躲,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,剁,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,妥,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,椭,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,唾,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,砣,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,惰,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,垛,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,T,堕,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,N,挼,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,N,糯,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,N,懦,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,L,骡,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,L,螺,u/o,文读/白读,
XH02,萧山城厢,太湖片-临绍小片,,,戈,L,脶,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,L,啰,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,L,裸,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,L,瘰,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,L,摞,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,锉,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,莝,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,矬,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,坐,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,座,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,蓑,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,梭,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,唆,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,莎,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,锁,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,琐,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,唢,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,过,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,锅,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,戈,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,果,,,
