point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,萧山南阳方言的语音研究
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,多,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,拖,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,他,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,驼,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,驮,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,陀,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,鸵,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,沱,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,舵,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,大,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,T,驮,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,N,挪,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,N,哪,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,N,那,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,L,罗,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,L,锣,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,L,箩,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,L,萝,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,L,逻,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,TS,左,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,TS,佐,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,TS,搓,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,TS,娑,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,歌,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,哥,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,柯,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,个,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,轲,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,可,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,蛾,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,鹅,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,俄,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,娥,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,我,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,K,饿,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,Ø,荷,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,Ø,河,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,Ø,何,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,Ø,荷,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,Ø,贺,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,Ø,阿,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,歌,Ø,屙,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,茄,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,波,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,菠,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,跛,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,簸,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,簸,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,播,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,颇,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,坡,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,玻,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,破,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,婆,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,P,薄,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,M,魔,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,M,磨,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,M,摩,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,M,馍,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,M,蘑,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,M,磨,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,朵,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,躲,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,剁,,,
