point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,鄞县方言同音字汇
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,多,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,拖,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,他,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,驼,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,驮,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,陀,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,鸵,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,沱,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,舵,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,大,a/əu,文读/白读,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,T,驮,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,N,挪,o,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,N,哪,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,N,那,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,L,罗,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,L,锣,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,L,箩,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,L,萝,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,L,逻,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,TS,左,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,TS,佐,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,TS,搓,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,TS,娑,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,歌,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,哥,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,柯,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,个,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,轲,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,可,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,蛾,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,鹅,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,俄,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,娥,,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,我,o,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,K,饿,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,Ø,荷,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,Ø,河,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,Ø,何,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,Ø,荷,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,Ø,贺,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,Ø,阿,əu,～胶,
YX02, 鄞县中区,太湖片-甬江小片,,,歌,Ø,屙,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,茄,a,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,波,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,菠,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,跛,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,簸,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,簸,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,播,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,颇,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,坡,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,玻,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,破,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,婆,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,P,薄,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,M,魔,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,M,磨,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,M,摩,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,M,馍,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,M,蘑,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,M,磨,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,朵,o,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,躲,o,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,剁,o,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,妥,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,椭,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,唾,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,砣,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,惰,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,垛,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,T,堕,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,N,挼,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,N,糯,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,N,懦,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,L,骡,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,L,螺,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,L,脶,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,L,啰,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,L,裸,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,L,瘰,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,L,摞,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,锉,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,莝,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,矬,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,坐,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,座,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,蓑,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,梭,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,唆,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,莎,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,锁,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,琐,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,TS,唢,,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,过,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,锅,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,戈,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,果,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,裹,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,餜,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,过,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,科,əu,,
YX02, 鄞县中区,太湖片-甬江小片,,,戈,K,窠,əu,,
