point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,余姚方言志
YY01,余姚城关,太湖片-临绍小片,,,歌,T,多,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,拖,a/ou,用车～,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,他,a,其～,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,驼,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,驮,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,陀,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,鸵,,,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,沱,,,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,舵,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,大,a/ou,～黄/～小,
YY01,余姚城关,太湖片-临绍小片,,,歌,T,驮,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,N,挪,,,
YY01,余姚城关,太湖片-临绍小片,,,歌,N,哪,,,
YY01,余姚城关,太湖片-临绍小片,,,歌,N,那,,,
YY01,余姚城关,太湖片-临绍小片,,,歌,L,罗,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,L,锣,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,L,箩,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,L,萝,ou,菠～,
YY01,余姚城关,太湖片-临绍小片,,,歌,L,逻,,,
YY01,余姚城关,太湖片-临绍小片,,,歌,TS,左,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,TS,佐,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,TS,搓,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,TS,娑,o,,
YY01,余姚城关,太湖片-临绍小片,,,歌,K,歌,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,K,哥,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,K,柯,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,K,个,ou,～人,
YY01,余姚城关,太湖片-临绍小片,,,歌,K,轲,,,
YY01,余姚城关,太湖片-临绍小片,,,歌,K,可,ou,,
YY01,余姚城关,太湖片-临绍小片,,,歌,K,蛾,ou,,
