point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,诸暨市直埠镇方言语音研究
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,多,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,拖,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,他,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,驼,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,驮,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,陀,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,鸵,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,沱,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,舵,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,大,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,T,驮,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,N,挪,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,N,哪,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,N,那,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,L,罗,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,L,锣,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,L,箩,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,L,萝,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,L,逻,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,TS,左,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,TS,佐,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,TS,搓,o/ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,TS,娑,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,歌,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,哥,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,柯,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,个,,,
