point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,多,u,上海地区方言调查研究
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,拖,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,他,ᴀ,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,驼,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,驮,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,陀,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,鸵,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,沱,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,舵,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,大,u/ᴀ,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,T,驮,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,N,挪,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,N,哪,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,N,那,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,L,罗,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,L,锣,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,L,箩,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,L,萝,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,L,逻,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,TS,左,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,TS,佐,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,TS,搓,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,TS,娑,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,歌,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,哥,ɤ,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,柯,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,个,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,轲,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,可,o,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,蛾,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,鹅,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,俄,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,娥,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,我,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,K,饿,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,Ø,河,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,Ø,何,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,Ø,阿,,
ZP01,周浦,太湖片-苏沪嘉小片,,,歌,Ø,屙,,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,K,茄,ᴀ,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,波,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,菠,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,跛,,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,簸,,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,簸,,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,播,,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,颇,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,坡,,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,玻,,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,破,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,婆,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,P,薄,,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,M,魔,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,M,磨,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,M,摩,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,M,馍,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,M,蘑,,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,M,磨,u,
ZP01,周浦,太湖片-苏沪嘉小片,,,戈,T,朵,u,
