point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,多,u,上海地区方言调查研究
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,拖,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,他,ᴀ,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,驼,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,驮,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,陀,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,鸵,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,沱,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,舵,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,大,u/ᴀ,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,T,驮,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,N,挪,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,N,哪,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,N,那,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,L,罗,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,L,锣,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,L,箩,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,L,萝,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,L,逻,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,TS,左,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,TS,佐,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,TS,搓,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,TS,娑,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,歌,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,哥,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,柯,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,个,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,轲,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,可,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,蛾,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,鹅,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,俄,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,娥,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,我,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,K,饿,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,Ø,河,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,Ø,何,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,Ø,阿,,
ZR01,真如,太湖片-苏沪嘉小片,,,歌,Ø,屙,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,K,茄,ᴀ,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,波,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,菠,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,跛,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,簸,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,簸,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,播,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,颇,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,坡,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,玻,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,破,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,婆,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,P,薄,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,M,魔,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,M,磨,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,M,摩,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,M,馍,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,M,蘑,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,M,磨,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,T,朵,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,T,躲,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,T,剁,,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,T,妥,u,
ZR01,真如,太湖片-苏沪嘉小片,,,戈,T,椭,,
