point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,舟山方言研究
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,多,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,拖,a/o/au,～舌头,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,他,a,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,驼,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,驮,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,陀,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,鸵,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,沱,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,舵,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,大,a/au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,T,驮,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,N,挪,o,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,N,哪,a,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,N,那,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,L,罗,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,L,锣,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,L,箩,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,L,萝,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,L,逻,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,TS,左,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,TS,佐,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,TS,搓,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,TS,娑,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,歌,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,哥,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,柯,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,个,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,轲,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,可,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,蛾,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,鹅,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,俄,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,娥,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,我,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,K,饿,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,Ø,荷,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,Ø,河,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,Ø,何,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,Ø,荷,au,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,Ø,贺,,,
ZS01,舟山定海,太湖片-甬江小片,,,歌,Ø,阿,au,～胶,
ZS01,舟山定海,太湖片-甬江小片,,,歌,Ø,屙,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,茄,a/ia/iɛ,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,波,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,菠,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,跛,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,簸,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,簸,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,播,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,颇,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,坡,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,玻,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,破,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,婆,u/au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,P,薄,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,M,魔,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,M,磨,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,M,摩,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,M,馍,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,M,蘑,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,M,磨,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,朵,o,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,躲,o,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,剁,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,妥,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,椭,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,唾,u/au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,砣,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,惰,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,垛,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,T,堕,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,N,挼,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,N,糯,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,N,懦,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,L,骡,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,L,螺,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,L,脶,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,L,啰,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,L,裸,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,L,瘰,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,L,摞,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,锉,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,莝,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,矬,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,坐,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,座,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,蓑,o,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,梭,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,唆,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,莎,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,锁,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,琐,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,TS,唢,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,过,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,锅,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,戈,o/au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,果,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,裹,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,餜,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,过,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,科,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,窠,u/au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,棵,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,髁,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,蝌,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,颗,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,课,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,讹,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,K,卧,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,火,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,伙,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,货,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,和,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,禾,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,祸,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,夥,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,和,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,倭,au,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,踒,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,窝,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,涡,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,莴,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,涴,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,瘸,,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,靴,y,,
ZS01,舟山定海,太湖片-甬江小片,,,戈,Ø,�,,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,巴,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,芭,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,疤,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,笆,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,吧,,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,把,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,靶,,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,霸,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,欛,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,壩,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,坝,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,爸,a,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,怕,a/o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,帕,,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,爬,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,琶,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,杷,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,钯,,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,P,耙,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,M,麻,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,M,痲,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,M,蟆,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,M,妈,a,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,M,马,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,M,码,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,M,玛,,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,M,蚂,,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,M,骂,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,N,拿,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,TS,茶,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,TS,搽,o,,
ZS01,舟山定海,太湖片-甬江小片,,,麻,TS,䖳,,,
