point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
CH01,昌化,太湖片-临绍小片,,,歌,T,多,ɯ,临安地区方言语音研究
CH01,昌化,太湖片-临绍小片,,,歌,T,拖,u/ɯ,文读～累/白读
CH01,昌化,太湖片-临绍小片,,,歌,T,他,,
CH01,昌化,太湖片-临绍小片,,,歌,T,驼,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,T,驮,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,T,陀,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,T,鸵,,
CH01,昌化,太湖片-临绍小片,,,歌,T,沱,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,T,舵,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,T,大,a/ɯ,文读/白读
CH01,昌化,太湖片-临绍小片,,,歌,T,驮,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,N,挪,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,N,哪,a,
CH01,昌化,太湖片-临绍小片,,,歌,N,那,,
CH01,昌化,太湖片-临绍小片,,,歌,L,罗,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,L,锣,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,L,箩,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,L,萝,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,L,逻,,
CH01,昌化,太湖片-临绍小片,,,歌,TS,左,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,TS,佐,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,TS,搓,u,
CH01,昌化,太湖片-临绍小片,,,歌,TS,娑,,
CH01,昌化,太湖片-临绍小片,,,歌,K,歌,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,K,哥,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,K,柯,,
CH01,昌化,太湖片-临绍小片,,,歌,K,个,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,K,轲,,
CH01,昌化,太湖片-临绍小片,,,歌,K,可,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,K,蛾,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,K,鹅,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,K,俄,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,K,娥,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,K,我,a,
CH01,昌化,太湖片-临绍小片,,,歌,K,饿,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,Ø,荷,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,Ø,河,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,Ø,何,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,Ø,荷,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,Ø,贺,ɯ,
CH01,昌化,太湖片-临绍小片,,,歌,Ø,阿,,
CH01,昌化,太湖片-临绍小片,,,歌,Ø,屙,,
CH01,昌化,太湖片-临绍小片,,,戈,K,茄,,
CH01,昌化,太湖片-临绍小片,,,戈,P,波,u,
CH01,昌化,太湖片-临绍小片,,,戈,P,菠,u,
CH01,昌化,太湖片-临绍小片,,,戈,P,跛,,
CH01,昌化,太湖片-临绍小片,,,戈,P,簸,u,
CH01,昌化,太湖片-临绍小片,,,戈,P,簸,u,
CH01,昌化,太湖片-临绍小片,,,戈,P,播,u,
CH01,昌化,太湖片-临绍小片,,,戈,P,颇,o,
CH01,昌化,太湖片-临绍小片,,,戈,P,坡,u,
CH01,昌化,太湖片-临绍小片,,,戈,P,玻,u,
CH01,昌化,太湖片-临绍小片,,,戈,P,破,u/a,文读/白读
CH01,昌化,太湖片-临绍小片,,,戈,P,婆,u,
CH01,昌化,太湖片-临绍小片,,,戈,P,薄,,
CH01,昌化,太湖片-临绍小片,,,戈,M,魔,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,M,磨,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,M,摩,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,M,馍,,
CH01,昌化,太湖片-临绍小片,,,戈,M,蘑,,
CH01,昌化,太湖片-临绍小片,,,戈,M,磨,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,T,朵,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,T,躲,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,T,剁,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,T,妥,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,T,椭,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,T,唾,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,T,砣,,
CH01,昌化,太湖片-临绍小片,,,戈,T,惰,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,T,垛,,
CH01,昌化,太湖片-临绍小片,,,戈,T,堕,,
CH01,昌化,太湖片-临绍小片,,,戈,N,挼,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,N,糯,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,N,懦,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,L,骡,,
CH01,昌化,太湖片-临绍小片,,,戈,L,螺,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,L,脶,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,L,啰,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,L,裸,,
CH01,昌化,太湖片-临绍小片,,,戈,L,瘰,,
CH01,昌化,太湖片-临绍小片,,,戈,L,摞,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,TS,锉,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,TS,莝,,
CH01,昌化,太湖片-临绍小片,,,戈,TS,矬,,
CH01,昌化,太湖片-临绍小片,,,戈,TS,坐,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,TS,座,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,TS,蓑,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,TS,梭,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,TS,唆,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,TS,莎,,
CH01,昌化,太湖片-临绍小片,,,戈,TS,锁,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,TS,琐,,
CH01,昌化,太湖片-临绍小片,,,戈,TS,唢,,
CH01,昌化,太湖片-临绍小片,,,戈,K,过,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,锅,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,戈,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,果,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,裹,u,
CH01,昌化,太湖片-临绍小片,,,戈,K,餜,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,过,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,科,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,窠,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,棵,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,髁,,
CH01,昌化,太湖片-临绍小片,,,戈,K,蝌,,
CH01,昌化,太湖片-临绍小片,,,戈,K,颗,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,课,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,K,讹,,
CH01,昌化,太湖片-临绍小片,,,戈,K,卧,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,火,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,伙,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,货,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,和,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,禾,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,祸,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,夥,,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,和,ɯ,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,倭,,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,踒,,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,窝,,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,涡,,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,莴,,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,涴,,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,瘸,,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,靴,yɛ,
CH01,昌化,太湖片-临绍小片,,,戈,Ø,�,,
CH01,昌化,太湖片-临绍小片,,,麻,P,巴,u,
CH01,昌化,太湖片-临绍小片,,,麻,P,芭,a,
CH01,昌化,太湖片-临绍小片,,,麻,P,疤,u,
CH01,昌化,太湖片-临绍小片,,,麻,P,笆,,
CH01,昌化,太湖片-临绍小片,,,麻,P,吧,a,网～
CH01,昌化,太湖片-临绍小片,,,麻,P,把,u,一～刀
CH01,昌化,太湖片-临绍小片,,,麻,P,靶,,
CH01,昌化,太湖片-临绍小片,,,麻,P,霸,a,
CH01,昌化,太湖片-临绍小片,,,麻,P,欛,a,
CH01,昌化,太湖片-临绍小片,,,麻,P,壩,,
CH01,昌化,太湖片-临绍小片,,,麻,P,坝,a,
CH01,昌化,太湖片-临绍小片,,,麻,P,爸,,
CH01,昌化,太湖片-临绍小片,,,麻,P,怕,u,
CH01,昌化,太湖片-临绍小片,,,麻,P,帕,a,
