point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,江苏语言资料汇编苏州卷
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,多,ɤɯ,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,拖,ɤɯ,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,他,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,驼,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,驮,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,陀,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,沱,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,舵,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,大,ɤɯ,白读,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,T,驮,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,N,挪,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,N,哪,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,N,那,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,L,罗,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,L,锣,ɤɯ,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,L,箩,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,L,萝,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,L,逻,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,TS,左,ɤɯ,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,TS,搓,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,K,歌,,,
ZJ01,张家港城关,太湖片-苏沪嘉小片,,,歌,K,哥,,,
