汉字,声母（详细）,声母简易,韵,调类,韵摄,开合,等
呆,端,T,咍,平,蟹,开,一
戴,端,T,咍,去,蟹,开,一
胎,透,T,咍,平,蟹,开,一
台,透,T,咍,平,蟹,开,一
奤,透,T,咍,上,蟹,开,一
态,透,T,咍,去,蟹,开,一
贷,透,T,咍,去,蟹,开,一
台,定,T,咍,平,蟹,开,一
苔,定,T,咍,平,蟹,开,一
抬,定,T,咍,平,蟹,开,一
待,定,T,咍,上,蟹,开,一
怠,定,T,咍,上,蟹,开,一
殆,定,T,咍,上,蟹,开,一
代,定,T,咍,去,蟹,开,一
袋,定,T,咍,去,蟹,开,一
玳,定,T,咍,去,蟹,开,一
黛,定,T,咍,去,蟹,开,一
埭,定,T,咍,去,蟹,开,一
逮,定,T,咍,去,蟹,开,一
绐,定,T,咍,去,蟹,开,一
乃,泥（娘）,N,咍,上,蟹,开,一
耐,泥（娘）,N,咍,去,蟹,开,一
来,来,L,咍,平,蟹,开,一
灾,精,TS,咍,平,蟹,开,一
栽,精,TS,咍,平,蟹,开,一
宰,精,TS,咍,上,蟹,开,一
载,精,TS,咍,上,蟹,开,一
再,精,TS,咍,去,蟹,开,一
载,精,TS,咍,去,蟹,开,一
猜,清,TS,咍,平,蟹,开,一
彩,清,TS,咍,上,蟹,开,一
採,清,TS,咍,上,蟹,开,一
睬,清,TS,咍,上,蟹,开,一
踩,清,TS,咍,上,蟹,开,一
菜,清,TS,咍,去,蟹,开,一
棌,清,TS,咍,去,蟹,开,一
才,从,TS,咍,平,蟹,开,一
材,从,TS,咍,平,蟹,开,一
财,从,TS,咍,平,蟹,开,一
裁,从,TS,咍,平,蟹,开,一
在,从,TS,咍,上,蟹,开,一
载,从,TS,咍,去,蟹,开,一
腮,心,TS,咍,平,蟹,开,一
鳃,心,TS,咍,平,蟹,开,一
赛,心,TS,咍,去,蟹,开,一
塞,心,TS,咍,去,蟹,开,一
该,见,K,咍,平,蟹,开,一
改,见,K,咍,上,蟹,开,一
概,见,K,咍,去,蟹,开,一
溉,见,K,咍,去,蟹,开,一
开,溪,K,咍,平,蟹,开,一
凯,溪,K,咍,上,蟹,开,一
慨,溪,K,咍,去,蟹,开,一
咳,溪,K,咍,去,蟹,开,一
呆,疑,K,咍,平,蟹,开,一
磑,疑,K,咍,平,蟹,开,一
碍,疑,K,咍,去,蟹,开,一
海,晓,Ø,咍,上,蟹,开,一
孩,匣,Ø,咍,平,蟹,开,一
亥,匣,Ø,咍,上,蟹,开,一
哀,影,Ø,咍,平,蟹,开,一
埃,影,Ø,咍,平,蟹,开,一
唉,影,Ø,咍,平,蟹,开,一
爱,影,Ø,咍,去,蟹,开,一
贝,帮,P,泰,去,蟹,开,一
狈,帮,P,泰,去,蟹,开,一
沛,滂,P,泰,去,蟹,开,一
带,端,T,泰,去,蟹,开,一
太,透,T,泰,去,蟹,开,一
泰,透,T,泰,去,蟹,开,一
大,定,T,泰,去,蟹,开,一
汏,定,T,泰,去,蟹,开,一
奈,泥（娘）,N,泰,去,蟹,开,一
赖,来,L,泰,去,蟹,开,一
癞,来,L,泰,去,蟹,开,一
蔡,清,TS,泰,去,蟹,开,一
盖,见,K,泰,去,蟹,开,一
丐,见,K,泰,去,蟹,开,一
艾,疑,K,泰,去,蟹,开,一
害,匣,Ø,泰,去,蟹,开,一
蔼,影,Ø,泰,去,蟹,开,一
杯,帮,P,灰,平,蟹,合,一
辈,帮,P,灰,去,蟹,合,一
背,帮,P,灰,去,蟹,合,一
胚,滂,P,灰,平,蟹,合,一
坯,滂,P,灰,平,蟹,合,一
配,滂,P,灰,去,蟹,合,一
培,並,P,灰,平,蟹,合,一
陪,並,P,灰,平,蟹,合,一
赔,並,P,灰,平,蟹,合,一
裴,並,P,灰,平,蟹,合,一
倍,並,P,灰,上,蟹,合,一
佩,並,P,灰,去,蟹,合,一
背,並,P,灰,去,蟹,合,一
梅,明,M,灰,平,蟹,合,一
枚,明,M,灰,平,蟹,合,一
媒,明,M,灰,平,蟹,合,一
煤,明,M,灰,平,蟹,合,一
莓,明,M,灰,平,蟹,合,一
玫,明,M,灰,平,蟹,合,一
每,明,M,灰,上,蟹,合,一
妹,明,M,灰,去,蟹,合,一
昧,明,M,灰,去,蟹,合,一
堆,端,T,灰,平,蟹,合,一
𠡒,端,T,灰,上,蟹,合,一
对,端,T,灰,去,蟹,合,一
碓,端,T,灰,去,蟹,合,一
推,透,T,灰,平,蟹,合,一
㷟,透,T,灰,平,蟹,合,一
腿,透,T,灰,上,蟹,合,一
退,透,T,灰,去,蟹,合,一
颓,定,T,灰,平,蟹,合,一
队,定,T,灰,去,蟹,合,一
馁,泥（娘）,N,灰,上,蟹,合,一
内,泥（娘）,N,灰,去,蟹,合,一
雷,来,L,灰,平,蟹,合,一
儡,来,L,灰,上,蟹,合,一
癗,来,L,灰,上,蟹,合,一
蕾,来,L,灰,上,蟹,合,一
累,来,L,灰,去,蟹,合,一
擂,来,L,灰,去,蟹,合,一
𨀤,来,L,灰,去,蟹,合,一
脧,精,TS,灰,平,蟹,合,一
催,清,TS,灰,平,蟹,合,一
崔,清,TS,灰,平,蟹,合,一
摧,从,TS,灰,平,蟹,合,一
罪,从,TS,灰,上,蟹,合,一
碎,心,TS,灰,去,蟹,合,一
瑰,见,K,灰,平,蟹,合,一
盔,溪,K,灰,平,蟹,合,一
恢,溪,K,灰,平,蟹,合,一
